Assessment ID,Species or Taxon,Common Names,Year Assessed,Countries,Publication,Criteria system,Status,Publication citation,Scope
94093,"Eptesicus bottae (Peters, 1869)",Botta's Serotine,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94089,"Eptesicus gobiensis Bobrinskii, 1926",Bobrinskii's serotine,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94091,"Eptesicus gobiensis Bobrinskii, 1926",Bobrinskii's serotine,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94082,"Eptesicus nasutus (Dobson, 1877)",Sind Serotine Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94085,"Eptesicus pachyotis (Dobson, 1871)",Bengali: Motakanwala Chamchika English: Thick-eared Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94096,"Eptesicus serotinus (Schreber, 1774)",Serotine Thick-eared Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94099,"Eptesicus serotinus (Schreber, 1774)",Serotine Thick-eared Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94101,"Harpiocephalus harpia (Temminck, 1840)",Hairy-winged Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94105,"Hesperoptenus tickelli (Blyth, 1851)",Assamese: Chunga baduli English: Tickell's Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94109,"Hesperoptenus tickelli (Blyth, 1851)",Assamese: Chunga baduli English: Tickell's Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Data Deficient
DD","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94134,"Hipposideros armiger (Hodgson, 1835)",Great Himalayan Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94137,"Hipposideros armiger (Hodgson, 1835)",Great Himalayan Leaf-nosed Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94143,"Hipposideros ater Templeton, 1848","Sinhalese: Dwiwarna pathra nas wawalu English: Bi coloured Leaf-nosed Bat, Dusky Leaf-nosed Bat",2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94146,"Hipposideros cineraceus Blyth, 1853",Least Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94149,"Hipposideros cineraceus Blyth, 1853",Least Leaf-nosed Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94138,"Hipposideros fulvus Gray, 1838",Fulvous Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94140,"Hipposideros fulvus Gray, 1838",Fulvous Leaf-nosed Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94111,"Hipposideros galeritus Cantor, 1846",Bengali: Cantora Patanak Chamchika; English: Cantor's Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94124,"Hipposideros lankadiva Kelaart, 1850","Bengali: Guhabashi Patanak Chamchika; Sinhalese: Kelaarta Pathra-nas Wavula English: Kelaart's Leaf-nosed Bat, Large Ceylon Leaf-nosed Bat.",2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94115,"Hipposideros larvatus (Horsfield, 1823)",Bengali: Majhari Patanak Chamchika; English: Horsfield's Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94129,"Hipposideros pomona K. Andersen, 1918",Andersen's Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94132,"Hipposideros pomona K. Andersen, 1918",Andersen's Leaf-nosed Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94121,"Hipposideros speoris (Schneider, 1800)",Marathi: Paboli English: Schneider's Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94151,"Ia io Thomas, 1902",Great Evening Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Endangered
EN","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94153,"Ia io Thomas, 1902",Great Evening Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Critically Endangered
CR","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94163,"Kerivoula hardwickii (Horsfield, 1824)",Hardwicke's Forest Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94160,"Kerivoula papillosa (Temminck, 1840)",Bengali: Jhalarjukta Rongila Chamchika English: Papillose Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94154,"Kerivoula picta (Pallas, 1767)",Bengali: Komola-badami Chamchika; English: Painted Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94157,"Kerivoula picta (Pallas, 1767)",Bengali: Komola-badami Chamchika; English: Painted Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94169,"Macroglossus sobrinus K. Andersen, 1911",Hill Long-tongued Fruit Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94172,"Megaderma lyra E. Geoffroy, 1810","Bengali: Daini Badur Sinhalese: Indianu Borule Wavula Tamil: Muyalkadu vaval English: Greater False Vampire Bat, Indian False Vampire",2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94176,"Megaderma lyra E. Geoffroy, 1810","Bengali: Daini Badur Sinhalese: Indianu Borule Wavula Tamil: Muyalkadu vaval English: Greater False Vampire Bat, Indian False Vampire",2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94180,"Megaderma spasma (Linnaeus, 1758)","Bengali: Chhoto Daini Badur Sinhalese: Sri Lanka Boru Le Wavula English: Lesser False Vampire Bat, Sri Lankan False Vampire Bat",2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
