species_name,area,latitude,longitude,estimate_note
Tokay Gecko,Chitwan National Park,27.5291,84.3542,Estimated warm forest habitat marker
Torrent Catfish,Trishuli River,27.8160,84.5500,Estimated fast-flowing river habitat marker
White-bellied Heron,Phoksundo Lake,29.2010,82.9580,Historically present in Nepal — now regionally extinct here; global population survives only in Bhutan; NE India; and Myanmar
White-rumped Vulture,Bardia National Park,28.3920,81.3220,Estimated Terai habitat marker
Wild Boar,Chitwan National Park,27.5291,84.3542,Estimated forest-grassland habitat marker
Wild Water Buffalo,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Wild Yak,Upper Humla,30.0333,81.8167,Only confirmed wild yak sightings in Nepal (2014 and 2015) — species was presumed regionally extinct for decades before this
Bengal Tiger,Bardiya District,28.3667,81.4333,Estimated Terai habitat marker — western tiger range
Bengal Tiger,Banke District,28.0500,81.6167,Estimated Terai habitat marker — Banke National Park
Bengal Tiger,Kailali District,28.7000,80.6000,Estimated Terai habitat marker — far-western range
Bengal Tiger,Kanchanpur District,28.8333,80.1833,Estimated Terai habitat marker — Shuklaphanta
Red Panda,Taplejung District,27.3500,87.6667,Estimated high-altitude habitat marker
Red Panda,Panchthar District,27.1333,87.8000,Estimated eastern hill habitat marker
Red Panda,Ilam District,26.9088,87.9280,Estimated eastern hill forest habitat marker
Red Panda,Sankhuwasabha District,27.3667,87.2167,Estimated eastern Himalaya habitat marker
Snow Leopard,Mustang District,28.9985,83.8473,Estimated trans-Himalayan habitat marker
Snow Leopard,Dolpa District,29.1667,82.9833,Estimated Shey Phoksundo habitat marker
Snow Leopard,Humla District,30.0333,81.8167,Estimated remote high-altitude habitat marker
Snow Leopard,Mugu District,29.6833,82.3167,Estimated high-altitude habitat marker
Snow Leopard,Taplejung District,27.3500,87.6667,Estimated Kanchenjunga habitat marker
Greater One-horned Rhinoceros,Nawalparasi District,27.6833,83.9500,Estimated rhino translocation site
Greater One-horned Rhinoceros,Bardiya District,28.3667,81.4333,Estimated secondary rhino population marker
Asian Elephant,Jhapa District,26.6500,87.9333,Estimated eastern elephant corridor marker
Asian Elephant,Sunsari District,26.6333,87.2833,Estimated eastern elephant range marker
Asian Elephant,Nawalparasi District,27.6833,83.9500,Estimated elephant corridor marker
Asian Elephant,Bardiya District,28.3667,81.4333,Estimated western elephant population marker
Asian Elephant,Kailali District,28.7000,80.6000,Estimated far-western elephant range marker
Gharial,Bardiya District,28.3667,81.4333,Estimated Karnali river habitat marker
Himalayan Musk Deer,Dolakha District,27.6667,86.1667,Estimated forest and alpine scrub marker
Himalayan Musk Deer,Solukhumbu District,27.6833,86.7167,Estimated high-altitude range marker
Himalayan Musk Deer,Taplejung District,27.3500,87.6667,Estimated eastern Himalaya habitat marker
Sarus Crane,Rupandehi District,27.6333,83.4500,Estimated lowland wetland habitat marker
Sarus Crane,Kapilvastu District,27.5500,83.0500,Estimated farmland wetland habitat marker
Rufous-necked Hornbill,Ilam District,26.9088,87.9280,Estimated eastern hill forest habitat marker
Rufous-necked Hornbill,Panchthar District,27.1333,87.8000,Estimated eastern hill forest habitat marker
Swamp Deer,Kanchanpur District,28.8500,80.1833,Estimated Shuklaphanta grassland habitat marker
Swamp Deer,Chitwan District,27.5291,84.3542,Estimated grassland habitat marker along rivers
Himalayan Monal,Solukhumbu District,27.6833,86.7167,Estimated Sagarmatha region habitat marker
Himalayan Monal,Manang District,28.6667,84.0167,Estimated high-altitude forest habitat marker
Black-necked Crane,Upper Mustang,29.1833,83.9667,Estimated rare winter visitor marker — see note below on Phoksundo Lake entry
